iso,donated,received
AFG,0,57
AGO,0,323
ALB,0,117
ARE,0,0
ARG,0,8
ARM,0,56
AUS,48,0
AUT,958,70
BDI,0,205
BEL,7,0
BEN,0,116
BFA,0,152
BGD,0,3
BGR,0,55
BIH,0,1178
BLR,0,122
BLZ,0,74
BOL,0,215
BRA,0,178
CAF,0,21
CHE,7384,571
CHL,0,2
CHN,2,36
CIV,0,12
CMR,0,2405
COD,0,1938
COG,0,116
COL,82,229
CPV,0,31
CRI,0,36
CUB,0,14
CZE,0,4
DEU,45502,7180
DNK,0,0
DOM,0,229
DZA,0,22
ECU,0,118
EGY,0,28
ESH,0,14
ESP,6699,2517
ETH,0,280
FIN,0,0
FRA,6,22
GAB,0,10
GBR,46,11
GEO,0,36
GHA,0,6496
GIN,0,217
GMB,0,280
GNB,0,25
GRC,0,375
GTM,1,81
HKG,24,2
HND,0,27
HRV,0,8
HTI,0,178
HUN,0,29
IDN,0,40
IND,2,442
IRL,3,14
IRN,0,3
IRQ,0,93
ISR,0,2
ITA,170,59
JOR,0,12
KAZ,0,4
KEN,102,1336
KGZ,0,40
KHM,0,176
KOR,0,6
LAO,0,110
LBN,0,225
LBR,0,164
LKA,0,203
LUX,0,0
LVA,0,0
MAR,74,448
MDG,0,60
MEX,40,205
MHL,0,0
MKD,0,23
MLI,0,203
MMR,0,95
MNE,0,0
MNG,31,335
MOZ,0,72
MRT,0,78
MWI,0,411
NAM,0,313
NGA,0,1283
NIC,0,57
NLD,3,0
NOR,15,0
NPL,0,560
NZL,184,31
PAK,0,127
PAN,0,3
PER,0,66
PHL,0,92
POL,0,56
PRT,0,10
PRY,0,63
PSE,0,0
ROU,11,574
RUS,0,9
RWA,0,34
SDN,0,22
SEN,0,1137
SLB,0,2
SLE,0,313
SLV,0,12
SOM,0,52
SRB,0,276
SSD,0,50
SWE,8,0
SWZ,0,119
SYR,0,58
TCD,0,3
TGO,0,1085
THA,0,170
TJK,0,40
TON,0,146
TUN,0,45
TUR,0,227
TWN,311,15
TZA,0,1553
UGA,0,1939
UKR,0,1099
URY,0,2
USA,1193,89
UZB,0,6
VEN,0,12
VIR,0,2
VNM,0,109
VUT,0,28
ZAF,0,592
ZMB,0,918
ZWE,0,84
