iso,lat,lng,type,count,label,info,precision
ESP,41.3826,2.1771,donor,4,Labdoo Hub Barcelona @LaSalle,"Spain hub, 25% completed, 20 needed",exact
KEN,0.3917,34.016,donor,2,Labdoo Hub Busia,"Kenya hub, 11% completed, 18 needed",exact
USA,37.3362,-121.8906,donor,41,Labdoo Hub California (North),"United States hub, 67% completed, 62 needed",exact
USA,33.6857,-117.826,donor,576,Labdoo Hub California (South),"United States hub, 45% completed, 1303 needed",exact
CHN,30.6599,104.0633,donor,2,Labdoo Hub Chengdu OQ,"China hub, 0% completed, 0 needed",exact
BGD,23.7644,90.389,donor,0,"Labdoo Hub Dhaka, Bangladesh","Bangladesh hub, 0% completed, 0 needed",exact
IRL,53.2744,-9.0491,donor,0,Labdoo Hub Galway,"Ireland hub, 0% completed, 0 needed",exact
HKG,22.279,114.1725,donor,2,Labdoo Hub Hong Kong - Fleming,"Hong Kong S.A.R., China hub, 4% completed, 70 needed",exact
ESP,40.4168,-3.7035,donor,15,La Tabacalera - Madrid,"Spain hub, 58% completed, 36 needed",exact
AUS,50.8215,-0.1401,donor,48,Labdoo Hub Melbourne,"Australia hub, 78% completed, 65 needed",exact
USA,25.8195,-80.3553,donor,25,Labdoo Hub Miami - Doral,"United States hub, 78% completed, 33 needed",exact
USA,40.7127,-74.006,donor,93,Labdoo Hub Upper West - New York,"United States hub, 17% completed, 551 needed",exact
ITA,41.8933,12.4829,donor,170,Labdoo Hub Rome,"Italy hub, 63% completed, 278 needed",exact
TWN,25.0375,121.5637,donor,241,Labdoo Hub Taipei @EWB-Taiwan,"Taiwan hub, 100% completed, 235 needed",exact
ESP,40.4168,-3.7035,donor,4,Labdoo Hub Madrid - Medialab-Prado,"Spain hub, 100% completed, 2 needed",exact
ESP,41.1556,1.1076,donor,21,Labdoo School Hub Reus - Institut Baix Camp,"Spain hub, 100% completed, 7 needed",exact
ESP,41.2242,1.7256,donor,60,Labdoo School Hub Vilanova - Institut Baix a Mar,"Spain hub, 77% completed, 79 needed",exact
ESP,41.3464,1.6995,donor,193,Labdoo Hub Vilafranca Centre - El Hub de la Gestoria,"Spain hub, 68% completed, 325 needed",exact
ESP,41.3464,1.6995,donor,52,Labdoo School Hub Vilafranca - INS Eugeni d'ORS,"Spain hub, 83% completed, 71 needed",exact
TWN,24.8066,120.9687,donor,70,Labdoo Hub Taiwan @EWB-Taiwan,"Taiwan hub, 73% completed, 129 needed",exact
MEX,19.3208,-99.1515,donor,39,Labdoo Hub Mexico DF,"Mexico hub, 36% completed, 113 needed",exact
MEX,18.9915,-99.1025,donor,1,Labdoo Hub Tepoztlán,"Mexico hub, 0% completed, 0 needed",exact
PAK,33.9767,71.4373,donor,0,Labdoo Hub Hayatabad,"Pakistan hub, 0% completed, 0 needed",exact
DEU,51.0493,13.7381,donor,36,Labdoo Annahmestelle 01309 Dresden (Hub),"Germany hub, 88% completed, 42 needed",exact
ESP,41.7289,1.8287,donor,131,Labdoo Hub Manresa,"Spain hub, 62% completed, 295 needed",exact
ESP,60.3943,5.3259,donor,8,Labdoo Hub Berga,"Spain hub, 0% completed, 0 needed",exact
IND,13.0837,80.2702,donor,0,Labdoo Hub Mambalam,"India hub, 0% completed, 10 needed",exact
ALB,40.4708,19.4913,donor,0,Labdoo Hub Vlora,"Albania hub, 0% completed, 0 needed",exact
GTM,14.6416,-90.5133,donor,1,Labdoo Hub Guatemala City,"Guatemala hub, 9% completed, 11 needed",exact
ROU,44.4361,26.1027,donor,11,Labdoo Hub Bucharest,"Romania hub, 100% completed, 11 needed",exact
DEU,48.8376,10.093,donor,16,Labdoo Annahmestelle 73431 Aalen (Hub),"Germany hub, 0% completed, 0 needed",exact
NLD,51.6889,5.3031,donor,3,Labdoo Hub s-Hertogenbosch,"Netherlands hub, 0% completed, 0 needed",exact
MAR,33.5945,-7.62,donor,74,Labdoo Hub Casablanca,"Morocco hub, 43% completed, 219 needed",exact
AUT,47.583,12.1692,donor,31,Labdoo Annahmestelle 6330 Kufstein: kubi - Kufstein Bibliothek für Wissenschaft & Freizeit,"Austria hub, 100% completed, 4 needed",exact
ESP,41.3826,2.1771,donor,57,Labdoo School Hub  Barcelona Frederic Mistral - Tècnic Eulàlia,"Spain hub, 70% completed, 86 needed",exact
ROU,45.7538,21.2257,donor,0,Labdoo Hub Timisoara,"Romania hub, 0% completed, 0 needed",exact
USA,40.3451,-74.184,donor,25,Labdoo Hub Holmdel/New Jersey,"United States hub, 100% completed, 22 needed",exact
DEU,53.5502,10.0013,donor,186,[CLOSED] Labdoo Annahmestelle 21037 Hamburg - Kirchwerder: Tina Meier [zur Zeit geschlossen],"Germany hub, 59% completed, 353 needed",exact
DEU,48.4209,9.2591,donor,332,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),"Germany hub, 85% completed, 389 needed",exact
THA,8.2018,98.2984,donor,0,Labdoo Hub Phuket,"Thailand hub, 0% completed, 0 needed",exact
USA,54.6667,-1.75,donor,28,"Labdoo Hub Durham, North Carolina","United States hub, 100% completed, 18 needed",exact
ESP,41.3464,1.6995,donor,47,Labdoo School Hub Vilafranca - Escola Montagut,"Spain hub, 100% completed, 58 needed",exact
ESP,40.4168,-3.7035,donor,74,Labdoo School Hub Madrid - IES Villablanca,"Spain hub, 59% completed, 164 needed",exact
IND,13.0492,80.2243,donor,0,Labdoo Hub Chennai,"India hub, 0% completed, 0 needed",exact
ESP,41.3826,2.1771,donor,5,Labdoo Hub Barcelona @Itnig,"Spain hub, 0% completed, 0 needed",exact
DEU,51.267,7.1952,donor,640,Labdoo Annahmestelle 42287 Wuppertal-Barmen (Hub),"Germany hub, 100% completed, 228 needed",exact
DEU,48.1371,11.5754,donor,2031,Labdoo Annahmestelle 80804 München (Hub),"Germany hub, 69% completed, 3124 needed",exact
ESP,41.3826,2.1771,donor,124,Labdoo School Hub Barcelona - Aula Escola Europea,"Spain hub, 72% completed, 172 needed",exact
ESP,41.4728,2.0818,donor,0,Labdoo hub Barcelona @ESADE,"Spain hub, 0% completed, 0 needed",exact
ESP,43.3624,-1.7914,donor,4,Labdoo Hub Hondarribia - Euskadi,"Spain hub, 60% completed, 10 needed",exact
DNK,0.0,0.0,donor,0,Labdoo Hub Copenhaguen Business School,"Denmark hub, 0% completed, 0 needed",exact
ESP,41.3826,2.1771,donor,52,Labdoo Hub Barcelona Amics de Gracia,"Spain hub, 73% completed, 72 needed",exact
USA,33.617,-117.9294,donor,4,Labdoo School Hub California - Corona del Mar,"United States hub, 0% completed, 0 needed",exact
DEU,52.5174,13.3951,donor,316,Die Wille gGmbH,"Germany hub, 86% completed, 384 needed",exact
ESP,41.3854,1.6108,donor,25,Labdoo Hub Sant Martí Sarroca,"Spain hub, 100% completed, 24 needed",exact
AUT,48.5435,14.385,donor,20,Labdoo Hub Mühlviertel (OÖ),"Austria hub, 80% completed, 25 needed",exact
DEU,49.4539,11.0773,donor,342,Labdoo Annahmestelle 90402 Nürnberg (Hub),"Germany hub, 98% completed, 376 needed",exact
USA,33.6857,-117.826,donor,4,Labdoo School Hub California - Irvine High School,"United States hub, 0% completed, 0 needed",exact
USA,40.7127,-74.006,donor,23,Labdoo Hub Broadway - New York,"United States hub, 39% completed, 58 needed",exact
DEU,50.1106,8.6821,donor,119,Labdoo Annahmestelle 60487 Frankfurt am Main: [zur Zeit geschlossen],"Germany hub, 73% completed, 162 needed",exact
ESP,41.3464,1.6995,donor,398,Labdoo School Hub Vilafranca - Col·legi Vedruna Sant Elies,"Spain hub, 98% completed, 445 needed",exact
ESP,40.4933,-3.8758,donor,10,Labdoo School Hub Madrid - Colegio Balder,"Spain hub, 23% completed, 43 needed",exact
DEU,53.0758,8.8072,donor,347,Labdoo Annahmestelle 28215 Bremen (Hub),"Germany hub, 100% completed, 266 needed",exact
DEU,47.9961,7.8494,donor,155,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],"Germany hub, 81% completed, 200 needed",exact
DEU,51.4273,6.8829,donor,26276,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Germany hub, 77% completed, 35095 needed",exact
AUT,47.7981,13.0465,donor,823,Labdoo Hub Salzburg,"Austria hub, 82% completed, 1027 needed",exact
CHE,47.3339,8.3844,donor,7381,Labdoo Hub Zürich (Schweiz),"Switzerland hub, 95% completed, 7768 needed",exact
ESP,41.3464,1.6995,donor,2,Labdoo Hub Vilafranca @ Torres,"Spain hub, 0% completed, 0 needed",exact
ESP,41.4728,2.0818,donor,5,Labdoo School Hub - Agora Sant Cugat International,"Spain hub, 25% completed, 20 needed",exact
