,Hub,Needed (N),Remaining (R = N-T-D),% Completed,Country,Semaphore,Needed,In transit (T),Delivered (D),Remaining (R = N-T-D).1,Longitude,Latitude
0,Spain | Barcelona | Labdoo Hub Barcelona @LaSalle,20,15,25,Spain,open,18,1,4,13,2.177073,41.3825802
1,Kenya | Busia | Labdoo Hub Busia,18,16,11,Kenya,closed,18,0,2,16,34.0160135,0.3917103
2,United States | San Jose | Labdoo Hub California (North),62,20,67,United States,open,55,1,41,13,-121.890591,37.3361663
3,United States | Irvine | Labdoo Hub California (South),1303,712,45,United States,open,1134,15,576,543,-117.825981,33.6856969
4,China | Chengdu | Labdoo Hub Chengdu OQ,0,0,0,China,inactive,0,0,2,0,104.063315,30.659867
5,"Bangladesh | Dhaka | Labdoo Hub Dhaka, Bangladesh",0,0,0,Bangladesh,closed,0,0,0,0,90.3890144,23.7643863
6,Ireland | Galway | Labdoo Hub Galway,0,0,0,Ireland,open,0,0,0,0,-9.0490601,53.2744122
7,"Hong Kong S.A.R., China | Wan Chai | Labdoo Hub Hong Kong - Fleming",70,67,4,"Hong Kong S.A.R., China",closed,70,1,2,67,114.1724833,22.2790146
8,Spain | Madrid  | La Tabacalera - Madrid,36,15,58,Spain,closed,25,6,15,4,-3.703507,40.416782
9,Australia | Brighton | Labdoo Hub Melbourne,65,14,78,Australia,open,32,3,48,0,-0.1400561,50.8214626
10,United States | Doral | Labdoo Hub Miami - Doral,33,7,78,United States,inactive,26,1,25,0,-80.3553302,25.8195424
11,United States | New York City | Labdoo Hub Upper West - New York,551,453,17,United States,inactive,477,5,93,379,-74.0060152,40.7127281
12,Italy | Rome | Labdoo Hub Rome,278,101,63,Italy,open,242,7,170,65,12.4829321,41.8933203
13,Taiwan | Taipei | Labdoo Hub Taipei @EWB-Taiwan,235,0,100,Taiwan,inactive,234,1,241,0,121.5636796,25.0375198
14,xx | @PlanetEarth | Grassroots,1844,13,99,xx,open,1798,74,1757,0,0.0,0.0
15,Spain | Madrid | Labdoo Hub Madrid - Medialab-Prado,2,0,100,Spain,inactive,2,0,4,0,-3.703507,40.416782
16,Spain | Reus | Labdoo School Hub Reus - Institut Baix Camp,7,0,100,Spain,open,7,1,21,0,1.1076133,41.1555564
17,Spain | Vilanova i la Geltru | Labdoo School Hub Vilanova - Institut Baix a Mar,79,18,77,Spain,closed,24,1,60,0,1.7256327,41.2241992
18,Spain | Vilafranca del Penedes | Labdoo Hub Vilafranca Centre - El Hub de la Gestoria,325,103,68,Spain,open,259,29,193,37,1.6995213,41.3463825
19,Spain | Vilafranca del Penedes | Labdoo School Hub Vilafranca - INS Eugeni d'ORS,71,12,83,Spain,open,31,7,52,0,1.6995213,41.3463825
20,Taiwan | Hsinchu | Labdoo Hub Taiwan @EWB-Taiwan,129,34,73,Taiwan,inactive,129,25,70,34,120.9686833,24.8066333
21,"Mexico | México, D.F. | Labdoo Hub Mexico DF",113,72,36,Mexico,open,113,2,39,72,-99.1514678,19.3207722
