Dootrip,Departure,Capacity,In transit,Transported,Status,Load,Origin,Destination,Arrival,Dootrippers,Additional info
Dootrip #000000003 - from Leichlingen (Germany) to Hoima (Uganda),2015-07-31T08:00:00,1,0,1,Completed,Full,Germany,Uganda,2015-08-10T08:00:00, Rhein-Ruhr-Hub,Mrs. R. Brumloop
Dootrip #000000002 - from Bad Honnef (Germany) to Mityana Town (Uganda),2015-07-31T12:15:00,50,0,14,Completed,Not full,Germany,Uganda,2015-09-30T13:15:00, Rhein-Ruhr-Hub,Rev. Jjumba
Dootrip #000000079 - from New York (United States) to Barcelona (Spain),2015-06-14T03:15:00,2,0,1,Completed,Not full,United States,Spain,2015-06-17T03:15:00, jordi,
Dootrip #000000004 - from Bottrop (Germany) to jerezik (Bosnia and Herzegovina),2015-07-15T11:15:00,50,0,29,Completed,Not full,Germany,Bosnia and Herzegovina,2015-07-31T11:15:00, Rhein-Ruhr-Hub,
Dootrip #000000005 - from Reus (Spain) to Siem Reap (Cambodia),2015-07-23T15:00:00,5,0,0,Completed,Not full,Spain,Cambodia,2015-07-24T18:30:00, crisgomal,
Dootrip #000000006 - from Essen (Germany) to Tirana (Albania),2015-06-28T10:30:00,3,0,3,Completed,Full,Germany,Albania,2015-06-30T10:30:00, Rhein-Ruhr-Hub,Hr. Alban Shehu
Dootrip #000000007 - from Düsseldorf (Germany) to Dar es Salaam (Tanzania),2015-07-15T10:00:00,8,0,8,Completed,Full,Germany,Tanzania,2015-07-31T10:00:00, Rhein-Ruhr-Hub DanielTz,
Dootrip #000000008 - from Reus (Spain) to Manila (Philippines),2015-08-04T10:00:00,2,0,0,Completed,Not full,Spain,Philippines,2015-08-05T10:00:00, rosaperez,
Dootrip #000000009 - from Stuttgart (Germany) to Delhi (India),2015-07-31T03:00:00,2,0,2,Completed,Full,Germany,India,2015-08-01T07:30:00, uli-stuttgart Rhein-Ruhr-Hub,drop off must occur on August 1 or August 13
Dootrip #000000010 - from Salzburg (Austria) to Kenya,2015-07-28T16:45:00,20,0,17,Completed,Not full,Austria,Kenya,2015-07-28T16:45:00, Frank,Dootrip is done from Company Palfinger from Salzburg to Nairobi and second part is done by Amref from Nairobi to Toskana and the edovillages
Dootrip #000000011 - from Künzelsau (Germany) to Val rei (Cape Verde),2015-07-31T16:15:00,6,0,0,Completed,Not full,Germany,Cape Verde,2015-08-31T16:15:00, Rhein-Ruhr-Hub,"J. Besser, Künzelsau"
