Labdoo ID,Status,Hub,Edoovillage,Country,Serial number,Pick me up,Model,Date created,Wh,Dootrips,Notes
63120,S2,Labdoo Annahmestelle 47443 Moers: Interkulturelles Nachbarschaftsnetzwerk 55plus (Hub) | Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 12103 Berlin-Schöneberg: AfB gGmbH Shop Berlin,,Germany,xxx,no,ACER TravelMate P249 series,2026-04-07,47.88,,"Gespendet von Fa. Samedi GmbH aus Berlin, vielen Dank. Arbeitsspeicher vom Labdoo.org e.V."
63119,S0,Labdoo City Hub Barcelona - Biblioteca Sant Gervasi - Joan Maragall,,Spain,NXGP2EB00175108FC77200,yes,Acer Swift SF113-31 series N17P2,2026-04-07,0,,
63118,S2,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),,Germany,1D059164#,no,Toshiba Z030-16K,2026-04-07,45.288,,
63117,S2,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),,Germany,JAM498FCCA3R64,no,Samsung 350E,2026-04-07,48.84,,
63116,S2,Labdoo Annahmestelle 72805 Schwäbische Alb (Hub),,Germany,801176164,no,Lenovo Ideapad Z360,2026-04-07,57.5,,
63115,S3,Labdoo School Hub Vilafranca - Col·legi Vedruna Sant Elies,"Edoovillage #2243 - Kenya, Nairobi: Queens and Kings of Kibera",Spain,CND8331HXB,no,compaq C793ES,2026-04-07,0,,
63114,T1,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #3065 - Sierra Leone, Makeni: Sam-Mary International Preparatory Academy",Germany,9S7179111221ZF7000069,no,msi GE72 MS1791,2026-04-07,48.84,#000005860,"gespendet von Lennard B. aus Berlin, vielen Dank."
63113,T1,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),"Edoovillage #3065 - Sierra Leone, Makeni: Sam-Mary International Preparatory Academy",Sierra Leone,PF0Q9LAP,no,Lenovo IdeaPad 300-17ISK,2026-04-07,48.84,#000005860,"gespendet von Andre K. aus Vlotho, vielen Dank. Reparatur und Ersatzteile (größere Platte, Tastatur) vom Labdoo.org e.V. (Batterielaufzeit in % / condition, nicht Minuten)"
63112,T1,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 40233 Düsseldorf - Flingern: AWISTA Kommunal Recyclinghof Flingern,"Edoovillage #3065 - Sierra Leone, Makeni: Sam-Mary International Preparatory Academy",Germany,3T0KL33,no,Dell Latitude 5500,2026-04-06,0,#000005860,"(Batterielaufzeit in % / condition, nicht Minuten)"
63111,T1,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47053 Duisburg Hochfeld: Recyclinghof Mitte Wirtschaftsbetriebe Duisburg / R(h)einladen,"Edoovillage #1841 - Germany, Baden-Württemberg: Sammelprojekt Digitale Teilhabe | COVID-19-DE",Germany,4ZBMTL3,no,Dell Latitude 3420,2026-04-06,48.84,#000005879,"(Batterielaufzeit in % / condition, nicht Minuten)"
63110,T1,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub) | Labdoo Annahmestelle 47053 Duisburg Hochfeld: Recyclinghof Mitte Wirtschaftsbetriebe Duisburg / R(h)einladen,"Edoovillage #3065 - Sierra Leone, Makeni: Sam-Mary International Preparatory Academy",Germany,8DW94F2,no,Dell Inspiron 13 5000 P69G,2026-04-06,48.84,#000005860,"(Batterielaufzeit in % / condition, nicht Minuten)"
