Edoovillage,Date created,Hubs,Needed (N),In transit (T),Delivered (D),Remaining (R = N-T-D),% Completed,Number of students,Status,Country,Completed
"Bolivia, Beni: To set up a new computer laboratory for a school  in the town Bella Vista, Beni District, Bolivia. ",2012-05-30,Labdoo Hub Rome,30,1,0,29,3,700,open,Bolivia,0
"Bolivia, Cochabamba: Build 2 fully functioning computer laboratories in Quiriria and in Anzaldo",2012-06-16,Labdoo Hub Rome,2,0,2,0,100,150,completed,Bolivia,1
"Brazil, Quixadá: To support wit computers the activities in which the Association is engaged",2012-04-14,Labdoo Hub Rome,10,0,10,0,100,10,completed,Brazil,1
"Austria, Imst: SOS Kinderdorf Imst (Austria)",2012-09-11,Labdoo Annahmestelle 6330 Kufstein: kubi - Kufstein Bibliothek für Wissenschaft & Freizeit,4,0,4,0,100,42,completed,Austria,1
"Cambodia, Takoh village, Pradak commune, Banteay Srey district: Computer Training Program ",2012-07-10,Labdoo Hub Rome,25,0,9,16,36,1420,open,Cambodia,0
"Colombia, Nueva Granada, Corregimiento de La Gloria, Departamento del Magdalena: Project Biblioburro",2012-03-08,Labdoo Hub Rome,15,0,10,5,66,280,open,Colombia,0
"Ecuador, Ambato, Tungurahua: ",2012-09-22,Labdoo Hub Barcelona @I2CAT Campus Nord,5,0,3,2,60,325,open,Ecuador,0
"Ecuador, Ambato, Tungurahua: ",2012-09-22,Labdoo Hub Barcelona @I2CAT Campus Nord,3,0,1,2,33,75,open,Ecuador,0
"Ecuador, Ambato, Tungurahua: Promover el desarrollo integral de las Personas con discapacidad, a través de Rehabilitación Fisica, Sicología Clinica, Terapia de Lenguaje, Computerapia y Trabajo Social",2012-09-22,Labdoo Hub Barcelona @I2CAT Campus Nord,2,0,2,0,100,30,completed,Ecuador,1
"Ecuador, Ambato, Tungurahua: ",2012-09-22,Labdoo Hub Barcelona @I2CAT Campus Nord,5,0,4,1,80,240,open,Ecuador,0
"Ecuador, Ambato, Tungurahua: ",2012-09-23,Labdoo Hub Barcelona @I2CAT Campus Nord,3,0,2,1,66,84,open,Ecuador,0
"Ecuador, Ambato, Tungurahua: ",2012-09-23,Labdoo Hub Barcelona @I2CAT Campus Nord,2,0,2,0,100,25,completed,Ecuador,1
"Ecuador, Ambato, Tungurahua: ",2012-09-23,Labdoo Hub Barcelona @I2CAT Campus Nord,4,0,2,2,50,376,open,Ecuador,0
"Ecuador, Ambato, Tungurahua: ",2012-09-23,Labdoo Hub Barcelona @I2CAT Campus Nord,2,0,2,0,100,20,completed,Ecuador,1
"Ecuador, Ambato, Tungurahua: Promover el desarrollo integral de las Personas con discapacidad, a través de Rehabilitación Fisica, Sicología Clinica, Terapia de Lenguaje, Computerapia y Trabajo Social",2012-09-23,Labdoo Hub Barcelona @I2CAT Campus Nord,2,0,2,0,100,147,completed,Ecuador,1
"Italy, Brescia: The donated laptops will be available for language and computer skills training",2012-09-12,Labdoo Hub Rome,3,0,3,0,100,60,completed,Italy,1
"Nepal, Nuwakot: Kalyankari Vidhya Mandir School",2012-10-10,Labdoo Hub Zürich (Schweiz),8,0,4,4,50,200,open,Nepal,0
"Mexico, Tijuana: A computer Lab for the after-school program.",2011-10-09,Labdoo Hub California (South),2,0,3,0,100,30,completed,Mexico,1
"Bosnia and Herzegovina, Mihatovici: students in refugee camp Mihatovici ",2012-04-30,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),15,0,15,0,100,140,completed,Bosnia and Herzegovina,1
"United States, San Jose: The computers will be used to give students internet access.",2012-03-08,Labdoo Hub California (North),2,0,2,0,100,507,completed,United States,1
"Zambia, Mongu: Holy Cross Girls Secondary School and Poverello project | Förderverein Windeck",2012-10-28,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),80,0,52,28,65,750,open,Zambia,0
"Zambia, Mongu: Chesire Home School | Förderverein Windeck",2012-10-28,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,5,5,50,70,open,Zambia,0
"Kenya, Ukanda: Diani Beach school (with EWB/IoG)",2012-10-30,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,210,completed,Kenya,1
"Laos, Luang Prabang: Support to high schools students in developing computer skills",2012-11-21,Labdoo Hub Rome,30,1,5,24,20,709,open,Laos,0
"Mexico, Zacualpan de Amilpas: Art workshop that gives courses to children in the Zacualpan community.",2012-11-21,Labdoo Hub Mexico DF,12,2,6,4,66,40,open,Mexico,0
"Guatemala, Ciudad Vieja Sacatequez: Helping children at Educarte to learn Edubuntu applications come with the Labdoo laptops. ",2012-06-12,Labdoo Hub California (South),6,0,7,0,100,70,completed,Guatemala,1
"Germany, Duisburg: Immersatt e.V. helps and improves the living and learning conditions of  children in Duisburg",2012-09-25,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),5,0,5,0,100,70,completed,Germany,1
"Germany, Duisburg: MINA - Muslimisches Frauenbildungszentrum e.V.",2012-11-30,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),3,0,3,0,100,20,completed,Germany,1
"Guatemala, San Mateo: Computadoras son para la estacion de radio, que hace cursos de computacion a ninyos de la aldea",2012-06-12,Labdoo Hub California (South),6,0,6,0,100,20,completed,Guatemala,1
"Germany, Duisburg: Mabilda Mädchenbildungsarbeit e.V.",2012-12-03,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),1,0,1,0,100,30,completed,Germany,1
"Germany, Duisburg: Förderunterricht für Migrantenkinder",2012-12-06,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),3,0,3,0,100,500,completed,Germany,1
"Nicaragua, Chontales, Villa Sandino, La Gateada: Centro de Estudios para jóvenes de secundaria del Instituto Rubén Darío",2012-07-16,La Tabacalera - Madrid,6,0,6,0,100,250,completed,Nicaragua,1
"Dominican Republic, Santo Domingo Este: To provide the Orphans with computer education, Internet access, with online and offline resources.",2012-12-09,Labdoo Hub Upper West - New York,10,0,10,0,100,40,open,Dominican Republic,0
"Kenya, Kisumu  : Laptops to help Ogada Secondary School teachers prepare their lessons",2012-12-04,Labdoo Hub Busia,3,0,0,3,0,200,open,Kenya,0
"Liberia, Monrovia: GERLIB COMMUNITY CENTER",2012-06-09,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),12,0,12,0,100,247,completed,Liberia,1
"Indonesia, Mataram, Lombok: CLOSED Youth Creative Foundation",2012-12-28,Labdoo Hub Zürich (Schweiz),13,0,5,8,38,20,completed,Indonesia,1
"Liberia, Monrovia: Ward Academy for Girls",2013-01-12,Labdoo Hub Zürich (Schweiz),4,0,4,0,100,30,completed,Liberia,1
"Cameroon, Bali Nyonga: The laptops will support our school children in Cameroon (Ashia)",2012-06-01,Labdoo Hub Zürich (Schweiz),140,0,140,0,100,580,completed,Cameroon,1
"Nigeria, Calabar: Computer Lab  in Calabar",2013-01-12,Labdoo Hub California (South),20,0,6,14,30,150,open,Nigeria,0
"Thailand, Chonburi: Thailand, Chonburi: HHN Foundation Thailand (Pattaya)",2013-01-11,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),2,0,2,0,100,15,completed,Thailand,1
"Italy, Piglio: To support using laptops the many start-up activities the organization carries out",2011-11-28,Labdoo Hub Rome,25,0,25,0,100,20,completed,Italy,1
"Morocco, Agadir: Public Souk Khamis School near Tafraout",2012-06-23,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),10,0,10,0,100,100,completed,Morocco,1
"Tanzania, Engaruka: Continous support to Tanzania computer lab built by the Tanzania Educational Volunteer Group",2012-02-05,Labdoo Hub Taipei @EWB-Taiwan,3,0,3,0,100,400,completed,Tanzania,1
"Togo, Akata Dzokpé: Build a permanent Computer workshop for children and adults  in Akata Dzokpé, TOGO",2012-08-03,Labdoo Hub Barcelona @I2CAT Campus Nord,2,0,2,0,100,25,completed,Togo,1
"Ghana, Begoro: Laptops for Ghana, Begoro - Anglican JHS",2013-01-20,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],20,0,18,2,90,132,open,Ghana,0
"Ghana, Begoro: ",2013-01-20,Labdoo Annahmestelle 79104 Freiburg Baden [zur Zeit geschlossen],20,0,17,3,85,152,open,Ghana,0
"Argentina, LA PLATA: To provide children in project 'La Maquina de los Sueños' with laptops",2011-09-27,Labdoo Hub Rome,7,0,8,0,100,15,completed,Argentina,1
"Ecuador, Guayaquil: Yachana-huasi",2013-03-06,Labdoo Hub Rome,5,0,5,0,100,530,completed,Ecuador,1
"Zambia, Lusaka: Holy Cross Convent school | Förderverein Windeck",2012-05-17,Labdoo Annahmestelle 45478 MH / Rhein-Ruhr (Hub),60,0,60,0,100,400,completed,Zambia,1
